review_id,visit_id,review
19,6072,Pouvez-vous faire en sorte que les personnes qui attendent aux urgences n’attendent pas dans le froid svp? La porte d’entrée reste ouverte par ce temps d’hiver et il n’y a pas de chauffage. Je feel pour les personnes qui sont malades et attendent pendant des heures dans ce froid glacial.
20,5851,"Je me suis fais opéré aux 2 genoux, reconstruction complète , j'y suis resté 6 jours, j'ai été très bien soigné par les infirmières et les physiotherapeute .le seul bémol est que les infirmières ont beaucoup d'ouvrage. Alors Mrs Legeault …"
21,8877,"Ma chirurgie d'un jour s'est super bien passée. Quelle belle équipe bienveillante et professionnelle. Suis arrivée à 5h45 selon mon rv. Inscription admission, puis cdj 3ième étage, salle d'attente jusqu'à environ 7h15. En salle opératoire …"
22,3046,Pire hôpital !!!! Je suis restée avec mon fils de 19 mois avec une fracture du bras pendant 6 heures OMG 6h mon bébé n'arrête pas de pleurer et il n'y a personne qui bouger. J'ai pris mon fils et nous sommes allés dans une clinique privée …
23,2871,"J'ai été à l'urgence avec ma soeur , elle a reçu un service satisfaisant, les personnels de santé sons très accueillant et respectueux .je recommande vivement cet endroit."
24,8599,"Hôpital a proximité du métro Fabre, j'ai reçu un bon service au département d'endoscopie.  Toutefois l'hôpital est désuets et l'extérieur n'est pas très propre.  Surprenant, il y a encore le sytème de carte d'hôpital, les numéros pour l'attente sont inscrits à la main sur des bouts de papier. (jamais vu cela ailleur)"
25,3496,"Très rapide, personnel sympatique et efficace, c'est le reste du système de santé avec son système de fax des années 1980 qui branle dans le manche. …"
26,9291,Pire hôpital !!!! Je suis restée avec mon fils de 19 mois avec une fracture du bras pendant 6 heures OMG 6h mon bébé n'arrête pas de pleurer et il n'y a personne qui bouger. J'ai pris mon fils et nous sommes allés dans une clinique privée …
27,1755,Je voudrais remercier toute l'équipe qui était au poste jeudi le 26 octobre 2023 en soirée à l'urgence. Vous avez TOUS été extraordinaires et gentils. Je vous suis très reconnaissante car je faisais une crise hypertensive. Les infirmiers et …
28,1797,"J’ai reçu un excellent service, sans trop d’attente, rien à dire de négatif! Je vais très rarement dans les hôpitaux et honnêtement j’ai été agréablement surpris!"
29,1659,"J'ai été opéré dans cette hôpital, ce n'était pas prévu comme ça au départ.  J'avoue avoir ete un peu inquiète en constatant la vétusté du bâtiment,  mais j'ai été prise en charge de façon très professionnelle et rassurante, merci!"
30,4219,"J'ai été opéré hier pour la vishicule biliaire à l'hôpital avec des médecins et du personnel formidables. Incroyable, je suis vraiment content."
31,9615,Je me permets de relever la note ayant patienté aux urgences de 19h40 à 4H du matin. Oui c’est long mais je pense qu’ils font leur maximum et le personnel est TELLEMENT GENTIL & organisé. Merci beaucoup !
32,8456,J'ai trouvez facilement hospital jsi un rendez-vous avec eux opération le service est super son tous gentil et très professionnel on m'a opere eusophage je sens mieux merci pour les bon soin j'ai reçu photo moi les prise la ville d3 Montréal vue de ma fenêtre 6 étage
33,4337,"Mon expérience d'hier à tout simplement été horrible, je suis rentré à l'hôpital autout de 8h am et suis sortit vers 15h, aucun diagnostique, aucune prescription rien du tout! J'ai été pour un mal de gorge sévère et maux de tête continu …"
34,3745,"Service et efficacités à l'urgence, personnel compétent et sympathique. Satisfaction maximal. Arrivée avec bras cassé après une chute. Merci à tout le personnel ."
35,5735,"Hospitalisée, je voulais simplement boire de l'eau, car j'avais très soif. Difficile d'avoir le verre d'eau. J'ai demandé à plusieurs personnes et j'ai attendu plusieurs heures avant d'avoir un simple verre d'eau (que je ne pouvais pas …"
36,9736,Expérience à l’urgence sommes toutes humaine et professionnelle. Merci aux infirmiers et infirmières ainsi qu’aux médecins qui se sont occupés de notre situation.
37,7687,Hôpital traumatisant!!!Ça c'est passé il y a 8 ans et j'avais 16 ans à  l'époque.Je me suis cassée le bras à la réunion parents-professeurs à mon école …
38,1714,"Merci à toute l'équipe médicale qui prend soin de ma mère dans ces temps difficiles, vous faites un excellent travail."
39,3292,"Le personnel de l’urgence était très sympathique, chaleureux et compréhensif autant auprès de l’infirmière, qu’à l’inscription, que par les médecins. 4 heures d’attente en comparaison à 12 à l’hôpital général juif."
40,9343,JE SUIS TRÈS EN COLÈRE CAR C’EST UN HÔPITAL QUI NE RESPECTE PAS LES PERSONNES SOURDES!!!JE SOUHAITE À TOUS CES GENS D’ÊTRE SOURDS 1 mois pour comprendre ce que nous vivons !!!
41,2207,Pourquoi des gardes aux urgences? Pauvre hôpital. La propreté est à désiré et ou son les médecins pour voir les patients aux urgences - monsieur ministre Dube vous devriez faire un tour au urgence et faire un bon ménage
42,7172,"Super personnel courtois et affable, de l'admission aux soins infirmiers anesthésie salle de réveil et salle de départ eu au Chirurgien Carlos Ansaldo"
43,9994,Toutes mes expériences ici on été attentes et médiocrité manque d’organisation. J’ai déjà attendu des heures pour un suivi mal fait. Une fois mon médecin m’a envoyé me faire placer une atele avec radio déjà envoyé mais pour raison …
44,8221,"J'ai été deux fois à cet hôpital dans le passé et j'étais pas vraiment satisfaite,  mais ma troisième fois c'etait super, grâce à Alex j'ai été vu dans le service triage premièrement par l'infirmier Alex très agréable, et sympa il est aussi …"
45,7021,"Il ne faut pas aller à cette hôpital, bcp d'erreurs dans les examens, des retard, des erreurs dans les RDv ! Catastrophique !!"
46,4622,"Aucun hygiène dans cette hopital, les toilettes de la salle d’attente à l’urgence sont vraiment sales et odeur désagréable, pas de savon à main en plus. Lorsque je demande au sécurité d’apeller un personel pour le nettoyage de la toilette …"
47,4560,"Hôpital a proximité du métro Fabre, j'ai reçu un bon service au département d'endoscopie.  Toutefois l'hôpital est désuets et l'extérieur n'est pas très propre.  Surprenant, il y a encore le sytème de carte d'hôpital, les numéros pour l'attente sont inscrits à la main sur des bouts de papier. (jamais vu cela ailleur)"
48,9948,"Très rapide, personnel sympatique et efficace, c'est le reste du système de santé avec son système de fax des années 1980 qui branle dans le manche. …"
49,2641,J'ai trouvez facilement hospital jsi un rendez-vous avec eux opération le service est super son tous gentil et très professionnel on m'a opere eusophage je sens mieux merci pour les bon soin j'ai reçu photo moi les prise la ville d3 Montréal vue de ma fenêtre 6 étage
50,5984,"Service et efficacités à l'urgence, personnel compétent et sympathique. Satisfaction maximal. Arrivée avec bras cassé après une chute. Merci à tout le personnel ."
51,5353,Went for day surgery. Everything was on time and easy. Nursing staff were kind and pleasant. I felt safe and cared for.J’ai été pour une chirurgie d’un jour. Ils étaient à l’heure selon ce qui était …
52,9622,"Je suis actuellement à l’hopital pour des grandes douleurs abdominales, cela fait maintenant 15h que j’y suis. Je suis arrivée a 15h il est maintenant 5h du matin. Je me pleins fe mes douleurs, l’infirmiere prend mon dossier pour voir si cela fait assez longtemps que jai eu ma derniere dode, et ma fiche netait meme pas signee."
53,8250,J'ai reçu tous les soins nécessaires. Je remercie grandement toute l'équipe de l'urgence et de l'étage.
54,5187,"Nous sommes arrivés un samedi à 12h. Les urgences étaient quasiment vides. Mon ami a été pris au triage instantanément. Une heure trente plus tard, il a vu un médecin. On lui a fait plusieurs prises de sang, un ECG et un CT scan. Le tout a pris cinq heures au total. Excellent service."
55,3659,Gros coup de coeur pour l'équipe en soins palliatifs. Ils ont été très humains et à l'écoute. Ils ont pris soin de grand-maman comme si elle était un membre de leur famille. Merci de nous avoir supporté dans cette épreuve et merci d'avoir pris soin d'elle.
56,3956,J’ai été prise en charge à l’urgence très rapidement 30 min après le triage j’ai été vue par un médecin et on m’a donner la medication. Tout le personnel ont été à la hauteur j’ai été admiré par leur professionnalisme! Un gros merci à mes 2 infirmière qui se sont si bien occupé de moi Sami et Sophie 👏
57,3251,"Le service est bon, mais l'accès est horrible. Aucun stationnement possible. Donc on doit trouver une place et faire attention aux restrictions. Ça peut etre loin de l'hôpital. Conseil: avec une personne a mobilité réduite, il faut etre 2. L'accompagnateur et le chauffeur."
58,5420,Super service mon ami avait l'épaule déboiter maintenant c' régler merci à toute l' équipe
59,8108,"Je me suis presenter dans cette urgence par embulence je leve mon chapeau car les pacients demende beaucoup. Son deborder mais il mon soinigue mes blessur . La bouff tres bonne , tres bonne proprete malgrais la rentrer des embulence il se …"
60,2071,"Moi et mon fils sommes arrivés à l’urgence à l’hôpital Jean Talon un mercredi soir vers 19h pour ma cheville fracturée. J’ai été prise au triage instantanément par l’infirmier Alex. Quel magnifique être humain, empathique, proactif, …"
61,6251,"Je sors de l’urgence. Ça a été rapide, efficace et l’équipe est tellement sympathique ! Je n’ai jamais été aussi bien accueillie dans un hôpital. Bravo et un énorme merci!"
62,8012,"Je suis allée à l'hôpital le 12 juillet 2022 à midi. Je ne suis sortie que le lendemain à 8h!! C'est inadmissible ce problème de personnel. Il y avait des gens sans doute plus mal que moi. Ma consultation n'a durée que 10 min, vraiment …"
63,4918,"Prise en charge aux urgences rapide (20 d’attente avec le triage), le monsieur était très patient et compréhensif et ensuite j’ai dû attendre 1h15 pour voir le médecin qui a été très compréhensive, patiente, à l’écoute et m’a bien expliqué …"
64,2684,"Très agréablement surpris par l’hospitalité, le professionnalisme, l’excellente organisation et tout ça avec une certaine forme d’empathie.Comme quoi on peut être irréprochable sur le plan professionnel et offrir un …"
65,8098,pire hôpital!!! N’allez pas là après recommandation de votre médecin en pensant passer plus vite. Requête ou pas t’attends plus de 10h et les infirmières ont du s’alterner la tâche plus de 20 fois pour me piquer parce qu’elles trouvaient pas mes veines.
66,3957,"Oui l’attente est longue aux urgences, mais la gentillesse du personnel (de la personne au triage, en passant par les docteurs et surtout les infirmiers/infirmières) est vraiment grandement appréciée. J’y suis allée deux fois en deux semaines, et j’ai été les deux fois très bien prise en charge. Chapeau au personnel soignant !"
67,5469,"Si vous n etes pas sure entre celui ci et le juif selon mon experience l hopital jean talon  a nettemenet etait meilleur pour repondre nos besoins. ils nous ont pris en charge radiographie, consulte et le personnel est adorable et attentif …"
68,9752,J'ai été aux urgences pour des douleurs abdominales. Le triage est très rapide (10min). On m'a fait une prise de sang et test d'urine dans les 30min. Petit hôpital et peu de monde dans la salle d'attente. Les infirmières sont très …
69,6795,"Je suis allé à cet hôpital et je n'y retournerais jamais, puisque la journée que je me sentais très mal et qu'ils ont du me faire une prise de sang. L'infirmière n'a été aucunement professionnel, avec mon futur champs d'expertise j'ai des …"
70,2472,"Super accueil et super prise en charge par l'équipe du Dr Muriel Laurans. Du personnel doux et à l'écoute!Comme tout bloc d'urgence, l'attente a été le gros point noir mais pendant tout ce temps on a pu m'administrer de quoi pour atténuer mes symtpomes.Merci à l'équipe!"
71,8263,"Hôpital a proximité du métro Fabre, j'ai reçu un bon service au département d'endoscopie.  Toutefois l'hôpital est désuets et l'extérieur n'est pas très propre.  Surprenant, il y a encore le sytème de carte d'hôpital, les numéros pour l'attente sont inscrits à la main sur des bouts de papier. (jamais vu cela ailleur)"
72,8365,"Très rapide, personnel sympatique et efficace, c'est le reste du système de santé avec son système de fax des années 1980 qui branle dans le manche. …"
73,9448,J'ai trouvez facilement hospital jsi un rendez-vous avec eux opération le service est super son tous gentil et très professionnel on m'a opere eusophage je sens mieux merci pour les bon soin j'ai reçu photo moi les prise la ville d3 Montréal vue de ma fenêtre 6 étage
74,7001,"Service et efficacités à l'urgence, personnel compétent et sympathique. Satisfaction maximal. Arrivée avec bras cassé après une chute. Merci à tout le personnel ."
75,4762,"Excellente hôpital. La réputation terni ce que cette institution représente aujourd’hui. L’établissement de santé 5 étoiles. Propre, efficace, humain. Je suis impressionnée et reconnaissante"
76,3435,"J'ai été opérer pour la vesicule biliaire. MERCI aux personnel ils ont tous été très gentil. Je eux un service bienveillant, souriant et il venait lorsque besoin.  Ce fut agréable comme expérience. Merci à vous, les infirmières ont été des perles."
77,2634,"Pire endroit pour les urgences.. surtout si vous êtes enceinte. Les ordres de priorité c’est vraiment n’importe quoi. Attendre 12h pour consulter une infirmière et revenir le lendemain pour voir le médecin, c’est vraiment ridicule. ( voir le médecin ça risque d’être un autre 11h d’attente aussi.)"
78,1973,J'ai du être opéré d'urgence et je dois dire que tous les employés ont traité la situation avec professionnalisme et rapidité. L'infirmière en salle de réveil (Victoria) à été d'une immense gentillesse et était une vraie bouée de confort. …
79,5464,Ca m a pris 5 h pour une radio! J ai pris la radio et ils m ont demander d aller au urgence pour le résultat de ma radio. J'ai signifier ma présence plusieurs fois au personnel pour comprendre pourquoi ca prenais autant de temp pour avoir …
80,9393,Personnel bienveillant et compétent .Bonne bouffe chaude.J'ai été traité comme un roi.Merci à tous et toutes.
81,3418,Je suis arrivé à 2h30 de l'après-midi avec une grosse douleur thoracique rendant la respiration difficile. Le triage s'est fait rapidement et l'infirmière très gentille m'a dit que c'était probablement un déchirement du muscle (ce qui …
82,4455,"Je suis arrivée à l'urgence samedi le 20 août 2022 à 2:30 am suite à un accident de la route(fractures, etc) Un énorme merci à tout le personnel attentionné et courtois(agent de sécurité, inhalo, docteurs, infirmières etc). Ça me laisse une …"
83,7167,"Très mauvaise expérience dans les urgences, un seul médecin dans l'hôpital!!!!, pas professionnel et en plus font le favoritisme, le personnel à l'intérieur discute entre eux en jouant avec leur cellulaires alors que quelques patients …"
84,6819,"Lâchez pas svp toute votre équipe!! Perso un des meilleurs temps d'attente vécu pour une urgence au niveau de la prise en charge, malgré toutes les étapes à traverser qui sont ma foi nombreuses, mais nécessaires je présume."
85,7521,"Pour les soins intensif, du médecin aux infirmières ma famille et moi donnons un 5 pour un excellent services courtois et. Généreux de leur temps et leur disponibilité à nous écouter. Nous les remercions grandement. Que Dieu les bénissePs: Un special merci à l’infirmière, Miss Anais"
86,7242,"Super service , le personnel étais très agréable malgré le fais que certaines faisais un 16h de suite . Et ils m'ont fait faire tout les examens possibles pour s'assurer que tout étais beau et prescrit les médicaments nécessaires. Comparativement à maisonneuve ..."
87,8742,"Commentaire sur les urgences : J'ai été prise en charge rapidement par des gens humains compréhensifs et patients. Salle d'attente avec des coins moins éclairés pour les personnes ayant besoin de se reposer. Différentes salles d'attentes et toilettes pour les gens avec symptômes de COVID ou non. Simple, efficace. Merci à toute l'équipe"
88,7738,J'arrive en ambulance avec une vive douleur au niveau du cou. Les signes vitaux sont beaux. …
89,3787,"J'ai été surprise de la gentillesse, du professionalisme sans compter la propreté de cet hôpital.  Ma mère de 86 ans est hospitalisée à cet établissement depuis maintenant une semaine et elle se sent en confiance et moi aussi.  Du moment où …"
90,8316,"Le personnel laisse vraiment à désirer surtout l'agent de sécurité devant qui ma obligé à fouiller mon sac sans que je ne pourrais pas rentrer. On ne me jamais fouiller de toute ma vie à l'hôpital, attendre 12h pour ""ne rien trouver"" vraiment ça fait pitié leur affaire."
91,5305,J'ai dû me présenter à l'urgence suite à une réaction alimentaire et en moins de 10 minutes j'étais sur un lit d'hôpital et prise en charge par le personnel très à l'écoute et devoué. Un gros merci à tout le personnel de l'hôpital qui font leur possible malgré la situation difficile au Québec. Vous êtes des super héros!
92,3610,"Seules les infirmières font bien leur travail. Le médecin de nuit ne m'a examinée qu'une seule minute, m'a donné un cocktail de médicaments, devait repasser m'évaluer deux heures plus tard, mais n'est jamais revenu. L'infirmière est venue …"
93,6531,"Ça été la pire expérience de ma vie pour ma fille de 2 ans!!!!!! Ils ont essayé de faire un prélèvement d’urine a 2 reprise mais avec une dizaine d’essai, ma fille as été traumatisée, ils ont jamais été capable!! Y’a fallu attraper l’urine …"
94,7926,"Je sais que critiquer le service public ne sert pas à grand chose.Mais là quand même, arrivée à 15h40 pour ma copine, elle a des difficultés à …"
95,8204,"Hôpital a proximité du métro Fabre, j'ai reçu un bon service au département d'endoscopie.  Toutefois l'hôpital est désuets et l'extérieur n'est pas très propre.  Surprenant, il y a encore le sytème de carte d'hôpital, les numéros pour l'attente sont inscrits à la main sur des bouts de papier. (jamais vu cela ailleur)"
96,7922,"Très rapide, personnel sympatique et efficace, c'est le reste du système de santé avec son système de fax des années 1980 qui branle dans le manche. …"
97,5182,J'ai trouvez facilement hospital jsi un rendez-vous avec eux opération le service est super son tous gentil et très professionnel on m'a opere eusophage je sens mieux merci pour les bon soin j'ai reçu photo moi les prise la ville d3 Montréal vue de ma fenêtre 6 étage
98,1307,"Service et efficacités à l'urgence, personnel compétent et sympathique. Satisfaction maximal. Arrivée avec bras cassé après une chute. Merci à tout le personnel ."
99,6302,"1 étoile pour le service de prise de rendez-vous!! 40 minutes d'attente au téléphone avant qu'on nous réponde, pour se faire dire la veille d'une date prévue d'opération, qu'ils allaient nous appeler pour confirmer l'heure et le lieu …"
100,2152,Je donne 5/5 car je suis sorti en 3h. Je suis aller a 7h du matin c’est sur que sa aide. Je ne vous conseil pas daller après 5h il n’y a que 1 docteur a l’urgence. Jai fais le triage et l’inscription en 15 min ce qui est tres rapide et …
101,7950,"J’ai dû aller à l’urgence pour une méga blessure à la cheville. En 15 minutes j’étais déjà dans la salle choc avec un médecin qui m’expliquait ce qui allait être fait. Tous très professionnels et à l’écoute, j’ai passé la nuit à l’hôpital …"
102,9467,"Quand  j'ai eu mon accident d'auto en juillet  , j'étais stresser / sur le choc apres ce qui est arriver , mais les ambulanciers et le personnel mon mis à l'aise , mon fait  rire pour me changer les idées .  Un personnel  dévouée, très gentil et a l'écoute  très bonne hôpital !"
103,6294,"Arrivée autour de 10h et sortie vers midi, quelle rapidité! Toutes les employées que j’ai rencontrées ont été très aimables et efficaces. Un exploit considérant leur dur labeur des derniers mois. J’y suis allée pour une infection à l’oeil …"
104,2208,"Bonne expérience pour une première. Seule reproche pour un agent de sécurité à l’entrée qui manque de professionnalisme et sens du service à la clientèle: assis, collé à son cellulaire avec un ton dur en s’adressant aux usagers contrairement aux autres agents à l’intérieur plus courtois."
105,3492,"Bien sûr que le temps d'attente peut être long, nous sommes au Québec. Par contre, j'ai rencontré plusieurs professionnel.le.s compétent.e.s, accueillant.e.s et à l'écoute. …"
106,9829,"Très bon personnel  à l'urgence et bon médecin,  il m'a téléphoné  pour me donner des nouvelles de ma mère. Le personnel au  chambres est tres sympathique et efficace. Merci pour tout ce que vous faites. Merci aussi pour avoir été  là pour la covid .🙂🙂🙂"
107,1770,excellente environment de travaille et exelent services de santé
108,9286,Plus de7h d'attente avec mon enfant de 7ans qui a le front ouvert...j aimerai mettre 0 etoiles
109,6995,"Tous les mures , les plafonds et les ascenseurs me semble tous en fin de vie et pas de stationnement ( même pas payant) . Je sais que le personnel fait de sont mieux et je suis tellement désolé pour eux , il mérite un environnement de …"
110,3344,"Pas du tout compétent je trouve.Comment ça s’fait qu’Urgence il y ai une longue attente , pendant ce temps des patients souffrent des douleurs et ils y resteront en attente pendant plus de 8h …"
111,4091,3 jours d'attente pour une fracture de la hanche et toujours pas opéré. Aucun soin n'est apporté et visiblement mon conjoint souffre de déshydratation et personne ne réagit. Évitez cet hôpital
112,4912,"Je suis allée pour les prises de sang.  C'était si malaisant, je me sentais comme un rat de laboratoire à faire la chaise musicale avec les autres patients , pendant qu'on voyait de trop près la patiente précédente se faire piquer!! …"
113,2434,J'étais la-bàs pour une blessure à la main. Lorsque j'y suis arrivée je pleurais vue la douleur. On ma donner une serviette toute petite pour que je contrôle l'hémoragie. Le problème est que j'ai le sang très clair donc une petite serviette …
114,7594,"Le 21 mai nous avons fait appel à une ambulance car mes jambes ne me suivaient plus, bcp de difficulté à marcher.  Ils m'ont transporté à l'hôpital Jean Talon et j'étais à 2 minutes de la Cité de la Santé, les ambulanciers m'ont déposé sur …"
115,6368,"Pire hôpital que j’ai jamais vu, nous sommes arrivés à 22h et attendons toujours notre tour à 10h du matin c’est inadmissible. Le personnel infirmier nous a informé ce matin qu’il n’y avait pas de médecin pendant 3h cette nuit sans qu’en …"
116,9372,"Bon, COVID exige certes que nous soyons tous sur notre ‘a-game’ mais je suis toutefois très satisfaite de mon expérience à l’hôpital suite à ma chirurgie en clinique externe. Le service d’admission a été plus qu’efficace et amiable. A …"
117,8148,"Aux directeurs de l'hôpital, un 2e urgentologue de nuit ne serait pas de trop! Des délais de 18h, c'est inhumain. Mon chien est traité plus rapidement. …"
118,8997,Le service d'urgence m'a pris plus vite en charge que dans des autres hôpitaux (en moyenne). J'ai eu une prise en charge avec des examens dans les suivants jours. Les personnes à l'accueil et dans le service ont vraiment été excellents.
119,4854,"Hôpital a proximité du métro Fabre, j'ai reçu un bon service au département d'endoscopie.  Toutefois l'hôpital est désuets et l'extérieur n'est pas très propre.  Surprenant, il y a encore le sytème de carte d'hôpital, les numéros pour l'attente sont inscrits à la main sur des bouts de papier. (jamais vu cela ailleur)"
120,9032,"Très rapide, personnel sympatique et efficace, c'est le reste du système de santé avec son système de fax des années 1980 qui branle dans le manche. …"
121,9131,J'ai trouvez facilement hospital jsi un rendez-vous avec eux opération le service est super son tous gentil et très professionnel on m'a opere eusophage je sens mieux merci pour les bon soin j'ai reçu photo moi les prise la ville d3 Montréal vue de ma fenêtre 6 étage
122,5845,"Service et efficacités à l'urgence, personnel compétent et sympathique. Satisfaction maximal. Arrivée avec bras cassé après une chute. Merci à tout le personnel ."
123,6116,"Aucun respect, manque de l'atendress enver les patients: passé plus de neuf heures pour un enfant de onze ans allongé sur les chaises dure avec une fièvre élevée, et sans consultation,  je trouve ça inhumain !!!Aquoi ça sert les Urgences ???"
124,4533,"Bonjour, il n'est pas la première fois que nous entendons des histoires de la sortes en provenant du service d'urgence de l'hopital Jean-Talon. Les premiers répondants sont extrèmement irrespectueux, ils ont osés douter de la vérédicité de …"
125,3937,Je quitte après 11h d'attente sans avoir vu de médecin. Quelle perte de temps incroyable!!! …
126,5939,Je suis suivi par un spécialiste dans cet hôpital. Le medecin est assez froid. J'ai subi une opération non seulement le chirurgien a plus ou moins fait bien son travail mais en plus les employés pour la plupart étaient désinteressés et …
127,4224,Je ne recommande pas cet hôpital  ils sont pas humains  le médecin m'a crier après juste pour une petite question et ensuite il m'a rabaisser à son personnel je suis arrivé en ambulance et j avais pas d argent pour rentrer chez moi donc l …
128,6021,Personnel soignant fabuleux tout au long de mon séjour. Tout simplement un gros merci à ces personnes qui ont à coeur la santé et le bien-être de leurs patients
129,2134,"C'est de loin mon hôpital favorite. Autant pour son service rapide selon mes expériences (moins de 3 heures pour chaques fois que j'y ai été), la bonté des employés. Ils prennent le temps d'écouter et ne nous font pas sentir comme des numéros. Je recommande sans hésiter 👍"
130,1025,"J'ai passé la nuit dernière à l'hôpital Jean-Talon. Enfin, grâce à un CT scan, ils ont trouvé le bobo (pierre au rein). J'ai trouvé le staff AU GRAND COMPLET gentil, courtois, attentionné et professionnel. Je ne voulais absolument pas me …"
131,1956,Le service de radiologie est médiocre!J'ai déposé la demande de radiographie dans la boîte le soir. Après une semaine …
132,2913,J'ai été opéré le 30 septembre 2021...Merci à tout le personnel médical et principalement aux infirmières pour le suivi après l’opération; il y a eu une légère complication  dû à ma condition physique et je suis sorti 3 heures plus tard que …
133,3934,J'avais un rendez-vous à 10h30 en orthopédie et ils ont cancellé mon rendez-vous à 10h15 par téléphone après avoir passé plus de 1h15 dans le trafic avec un pied cassé......
134,3721,"Arrivé à 17h00 et sortir à 21h45 avec radiographie et diagnostique.Seul bemol ...j'ai attendu 45 min pour la radiographie, lors que j'étais la seul …"
135,1928,Merci aux personnels des soins intensifs pour les bons soins de ma maman (Denise Métayer) du 22 avril au 04 mai 2023. Vous avez eu une approche humaine jusqu'à la fin.
136,6627,"Très mauvaise expérience. Arrivé a 17h aux urgences avec un mot de mon médecin (pour un 2nd diagnostic car il n'arrivait pas à savoir ce que j'ai), le triage se fait rapidement, on me dit qu'avec  le mot j'en ai pour 3h max. L'inscription …"
137,7265,"Le service de gériatrie est catastrophique.  M. Norman  New est rentré dans cet hôpital est perdu énormément du poids est sortie complément déshydraté. Malgré les avis aux infirmières , personne s'en occuper de le nourrir ou hydrater. À la …"
138,6446,"J'ai étais tellement bien reçu à cette hôpital. Des arrivées a l'entrée le gardien de sécurité ma accès comme si ont ce connaissait. A l'admission le jeune homme qui était la, chaleureux. …"
